year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Adamstown 132_11kV,01MAY2016,MW,7.73351,7.73351,7.73351,7.73351,7.73351,7.73351,7.73351,7.59261,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.92941,7.73351,7.73351,7.73351,7.73351,8.70519,9.16564,9.16564,9.75609,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.59777,10.87359,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,10.87184,10.59777,10.59777,10.59777,10.59777,10.59777,12.24167,11.07001,10.28974,9.45207,9.45207,9.45207,9.45207,8.98064,8.01994,8.01994
2017,Adamstown 132_11kV,02MAY2016,MW,8.01994,8.01994,8.05726,8.59279,7.96893,7.16066,7.16066,7.16066,7.16066,7.16066,7.16066,7.16066,7.16066,7.16066,7.16066,5.89515,5.72853,5.72853,5.72853,5.72853,5.72853,5.72853,5.72853,5.72853,6.86511,7.16066,7.73442,8.59279,8.59279,8.59279,8.59279,9.96631,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,9.21664,8.59279,8.59279,8.59279,8.59279,8.59279,8.59279,8.59279,8.59279,8.59279,8.59279,8.59279,8.59279,8.59279,8.59279,8.99249,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.19696,11.45705,11.45705,11.45705,12.75947,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,12.88919,10.86047,9.16564,9.16564,9.16564,9.16564
2017,Adamstown 132_11kV,03MAY2016,MW,9.16564,9.16564,8.69749,9.16564,9.16564,9.16564,8.06891,7.73351,7.73351,7.73351,7.73351,6.51680,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.31008,7.73351,7.73351,7.73351,7.78828,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.27602,10.59777,9.65310,9.16564,9.16564,9.16564,9.16564
2017,Adamstown 132_11kV,04MAY2016,MW,9.16564,9.16564,8.78645,9.16564,9.16564,9.10557,7.73351,7.73351,7.73351,7.73351,6.31304,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.60961,7.73351,7.73351,7.73351,8.90274,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.60764,10.59777,10.59777,11.66087,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,11.10420,10.59777,10.59777,10.59777,10.59777,10.59777,9.77730,11.65084,11.74348,10.35499,10.31135,10.19660,8.87922,8.87922,8.87922
2017,Adamstown 132_11kV,05MAY2016,MW,8.87922,8.87922,8.88496,9.16564,9.16564,8.99167,7.73351,7.73351,7.73351,7.73351,7.29093,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.68624,7.73351,7.73351,7.73351,7.76809,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,10.50598,10.59777,10.59777,11.62739,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,10.60610,10.59777,10.59777,10.59777,10.59777,10.59777,10.22879,11.64229,11.74348,10.58992,10.31135,10.21862,8.87922,8.87922,8.87922
2017,Adamstown 132_11kV,06MAY2016,MW,8.87922,8.87922,8.92130,9.45207,9.45207,8.84518,8.01994,8.01994,8.01994,7.39284,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,7.97539,8.01994,8.47835,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.97479,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,9.61303,9.45207,9.45207,9.45207,12.05061,11.29561,10.58128,9.45207,9.45207,9.45207,9.45207,9.45207
2017,Adamstown 132_11kV,07MAY2016,MW,9.45207,9.45207,8.83831,9.45207,9.45207,9.10754,8.01994,8.01994,8.01994,8.01994,7.55042,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.58781,6.91906,8.01994,8.01994,8.01994,8.01994,8.54048,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.45207,9.93357,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,10.88420,9.52788,9.45207,9.45207,11.65732,10.86121,10.31135,9.71608,8.87922,8.87922,8.87922,8.87922,8.87922,8.04923
2017,Adamstown 132_11kV,08MAY2016,MW,7.44708,7.44708,7.63576,8.87922,8.17980,7.44708,7.44708,7.44708,7.44708,6.85242,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,7.25948,7.44708,7.44708,7.44708,8.11668,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,8.87922,9.54136,10.31135,10.31135,10.31135,11.15070,11.74348,11.74348,11.74348,11.74348,11.74348,11.74348,11.74348,11.74348,11.21105,10.31135,10.31135,10.31135,10.31135,10.31135,10.19221,11.62993,10.78842,10.31135,9.37539,8.87922,8.87922,8.87922,8.87922,7.85108,7.44708
2017,Adamstown 132_11kV,09MAY2016,MW,7.44708,7.44708,7.44708,7.44708,7.44708,7.44708,7.44708,7.44708,6.47205,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,6.01495,7.17778,7.44708,7.44708,7.44708,8.59069,8.87922,9.53744,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.02492,10.18002,10.88420,10.88420,11.15897,12.31633,12.31633,12.31633,12.31633,12.31633,12.31633,12.31633,12.31633,12.31633,12.31633,12.31633,11.97648,10.88420,10.88420,10.88420,10.88420,9.76645,9.45207,9.45207,11.66023,11.74348,10.62847,10.31135,10.31135,9.11232,8.87922,8.87922
2017,Adamstown 132_11kV,10MAY2016,MW,8.87922,8.87922,8.87008,9.16564,9.16564,8.79003,7.73351,7.73351,7.73351,7.73351,7.00179,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,6.30138,7.41268,7.73351,7.73351,8.67699,9.16564,9.16564,9.16564,10.09935,10.59777,10.15631,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.16564,9.97110,10.59777,11.09288,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,12.02991,10.68310,10.59777,10.59777,10.59777,10.59777,10.59777,9.96136,11.64311,11.74348,10.60747,10.31135,10.31135,8.98475,8.87922,8.87922
