year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Adamstown 132_11kV,17MAR2016,MW,8.29440,8.29440,8.29905,8.55360,8.55360,8.13856,7.25760,7.25760,7.25760,7.25760,6.09290,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96280,7.25760,7.25760,7.25760,7.78290,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,9.71478,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,10.54422,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,10.36128,9.84960,9.84960,11.09195,10.99844,9.84960,9.84960,9.14000,8.55360,8.55360,8.55360
2016,Adamstown 132_11kV,18MAR2016,MW,8.55360,8.55360,8.54871,8.81280,8.81280,8.51474,7.51680,7.51680,7.51680,7.20604,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.62972,7.51680,7.51680,7.51680,8.58677,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,9.29053,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.56200,11.40480,11.40480,11.40480,11.40480,10.91326,10.10880,10.10880,10.10880,10.10880,10.10880,10.30965,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,10.80597,10.10880,10.10880,11.35403,10.76791,9.42907,8.81280,8.81280,8.50231,7.51680,7.51680
2016,Adamstown 132_11kV,19MAR2016,MW,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.17374,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,7.09073,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.93716,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,10.80688,10.88640,10.41832,9.59040,7.59613,7.51680,7.51680,7.51680,7.51680,6.63867
2016,Adamstown 132_11kV,20MAR2016,MW,7.50132,7.51680,7.52195,7.77600,7.77600,7.77600,7.65010,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,5.34006,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.86156,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.70481,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,11.75133,13.46086,11.70257,10.72605,9.84960,9.84960,8.65657,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.83472,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.37040,8.55360,8.55360,10.29288,9.91462,9.07200,9.07200,9.07200,8.32674,8.36118,9.07200,7.82214,7.77600
2016,Adamstown 132_11kV,21MAR2016,MW,7.77600,7.77600,7.94533,9.07200,8.28614,7.77600,7.77600,7.77600,7.70389,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.84249,7.77600,7.77600,8.43569,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.12919,11.14560,11.14560,10.01097,9.84960,9.84960,9.84960,9.85504,12.44160,11.78333,10.46657,9.84960,9.84960,9.84960,9.84960,9.55457,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,9.54507,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.81177,8.55360,8.55360,10.29958,9.71674,9.07200,9.00563,7.77600,7.77600,7.77600,7.77600
2016,Adamstown 132_11kV,22MAR2016,MW,7.77600,7.77600,7.70581,8.03520,8.03520,6.86549,6.73920,6.73920,6.73920,6.73920,5.98026,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.59610,6.73920,6.73920,6.73920,7.92817,8.03520,8.64672,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,8.83718,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.82591,9.33120,9.14372,8.61028,8.56101,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.16690,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,9.62550,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,9.82837,9.33120,9.33120,9.33120,8.77225,10.26997,10.36800,9.69364,9.07200,8.56381,7.77600,7.77600,7.77600
2016,Adamstown 132_11kV,23MAR2016,MW,7.77600,7.77600,7.81937,8.29440,8.29440,8.29440,7.64001,6.99840,6.99840,6.99840,6.93840,5.70240,5.70240,5.70240,5.70240,5.70240,5.70240,5.70240,5.70240,5.70240,5.70240,5.70240,5.70240,5.70240,5.70240,6.94589,6.99840,6.99840,7.75793,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.52314,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.88463,10.88640,10.88640,10.88640,10.88640,10.88640,9.81704,9.59040,9.59040,9.59040,9.28445,8.29440,10.03924,10.10880,9.66178,8.81280,8.80169,7.51680,7.51680,7.51680
2016,Adamstown 132_11kV,24MAR2016,MW,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,6.83831,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.46468,7.51680,7.51680,7.51680,8.72194,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,9.91473,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,9.50334,8.81280,8.81280,10.55887,10.33026,9.33120,9.33120,8.80605,8.03520,8.03520,8.03520
2016,Adamstown 132_11kV,25MAR2016,MW,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,6.82262,6.73920,6.73920,6.73920,6.62827,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,5.44320,6.25161,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,7.22753,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.03520,8.29465,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,8.54891,8.03520,8.03520,9.52646,9.59040,9.03150,8.29440,8.29440,8.09026,6.99840,6.99840
2016,Adamstown 132_11kV,26MAR2016,MW,8.26873,8.29440,8.22553,8.55360,8.55360,7.80141,7.25760,7.25760,7.25760,7.25760,6.18294,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,7.04459,7.25760,7.25760,7.25760,7.25760,8.38581,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,9.68084,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.40935,8.55360,8.55360,9.80062,9.74704,8.55360,8.55360,8.55360,8.55360,8.55360,8.35306,7.25760,7.25760
