year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Adamstown 132_11kV,01MAY2014,MW,9.33120,9.33120,9.31901,9.59040,9.59040,8.95646,8.29440,8.29440,8.29440,7.87592,6.99840,6.99840,6.99840,6.99840,6.99840,6.36217,5.70240,5.70240,5.70240,5.70240,5.70240,5.70240,5.70240,5.86264,6.99840,7.16024,8.29440,8.29440,8.29440,9.40046,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,8.40969,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.75863,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,10.43112,10.88640,11.97807,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,11.42965,10.88640,10.88640,10.88640,10.88640,10.88640,12.13350,12.18240,11.17252,10.88640,10.88640,9.71485,9.59040,9.59040
2015,Adamstown 132_11kV,02MAY2014,MW,9.59040,9.59040,9.08665,9.59040,9.59040,8.88482,8.29440,8.29440,8.29440,7.82822,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.56296,5.70240,5.70240,5.70240,5.70240,5.70240,5.70240,5.92966,6.99840,7.11998,8.29440,8.29440,8.29440,9.23146,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,10.65156,10.88640,11.85085,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,11.92012,10.88640,10.88640,10.88640,10.88640,10.81067,9.59040,9.59040,12.44298,11.81339,11.03858,10.10880,10.10880,10.10880,10.10880,10.10880
2015,Adamstown 132_11kV,03MAY2014,MW,10.10880,9.89666,8.81280,8.81280,8.81280,8.81280,8.41656,7.51680,7.51680,7.51680,7.51680,7.51680,7.22775,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.47332,7.51680,8.10363,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,9.91864,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,11.10003,11.40480,11.89152,12.72065,13.99680,13.99680,13.99680,13.99680,13.99680,13.99680,13.99680,13.99680,13.99680,13.66816,12.70080,12.70080,12.70080,12.70080,12.70080,12.02912,14.14630,13.34617,12.86565,11.66400,11.66400,10.97151,10.36800,10.36800,10.30948,9.07200
2015,Adamstown 132_11kV,04MAY2014,MW,9.07200,9.07200,9.10889,9.59040,9.14654,8.29440,8.29440,7.14523,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,8.26783,8.29440,8.68314,9.59040,9.80480,10.88640,10.88640,10.88640,10.88640,10.88640,10.88640,10.88640,10.88640,10.88640,10.88640,10.88640,10.88640,10.46920,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,10.48538,10.88640,11.36226,12.18240,13.35834,13.47840,13.47840,14.73247,14.77440,14.77440,14.77440,14.77440,13.49136,13.47840,13.47840,13.47840,12.80951,12.18240,12.18240,12.18240,13.67303,12.90895,11.80289,11.14560,11.14560,10.12368,9.84960,9.84960,9.22467,8.55360
2015,Adamstown 132_11kV,05MAY2014,MW,8.55360,8.50424,7.50571,9.07200,8.37753,7.77600,7.77600,7.77600,6.69132,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.97784,7.77600,8.46018,9.10726,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.21665,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,8.41164,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,8.28023,9.07200,9.07200,9.07200,9.07200,9.09093,10.36800,10.36800,11.15373,12.17588,13.37776,14.25600,14.91796,15.55200,15.55200,15.55200,15.55200,15.55200,15.55200,15.55200,15.38787,14.25600,14.25600,14.25600,14.02852,12.96000,12.96000,12.96000,12.32246,14.14930,13.43292,12.60232,11.66400,11.50862,10.36800,10.36800,10.36800
2015,Adamstown 132_11kV,06MAY2014,MW,10.36800,10.07338,9.15180,10.36800,10.36800,9.19994,9.07200,9.07200,9.00470,7.77600,7.77600,7.77600,7.77600,7.27848,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,7.54487,8.01965,9.07200,9.83573,10.36800,10.99122,11.66400,12.66292,12.96000,12.96000,12.96000,12.23000,11.66400,11.66400,11.66400,11.66400,10.51559,10.36800,10.36800,10.36800,10.36800,10.36800,9.92898,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.44507,10.36800,10.36800,10.36800,11.19413,11.66400,13.14407,14.25600,14.25600,14.25600,14.25600,14.25600,14.25600,14.25600,14.25600,14.25600,14.25600,14.25600,14.23195,12.96000,12.96000,12.96000,12.66956,11.66400,11.66400,13.66055,13.34803,12.32499,11.14560,11.14560,10.38180,9.84960,9.84960
2015,Adamstown 132_11kV,07MAY2014,MW,9.84960,9.84960,9.82891,10.10880,10.10880,9.57241,8.81280,8.81280,8.81280,8.29878,7.51680,7.51680,7.51680,7.51680,6.71171,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,7.01337,7.51680,8.65603,8.81280,10.02527,10.10880,10.43590,11.40480,11.40480,11.40480,11.40480,11.40480,10.68237,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.00228,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,9.08975,10.10880,10.10880,10.10880,10.91771,11.40480,12.59592,13.58247,13.99680,13.99680,13.99680,13.99680,13.99680,13.99680,13.99680,13.99680,13.99680,13.99680,13.40750,12.70080,12.70080,12.70080,12.32037,11.40480,11.40480,13.39773,13.30401,12.18240,11.39174,10.88640,10.70208,9.59040,9.59040
2015,Adamstown 132_11kV,08MAY2014,MW,9.59040,9.59040,9.62542,10.10880,10.10880,9.45718,8.81280,8.81280,8.81280,8.74621,7.51680,7.51680,7.51680,7.50616,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,7.30772,7.51680,8.80737,8.86406,10.10880,10.10880,11.11765,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,10.41905,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,11.25595,11.40480,11.40480,11.40480,12.05988,12.96964,13.99680,13.99680,13.99680,13.99680,13.99680,13.99680,14.21093,15.29280,15.29280,14.61783,13.99680,13.99680,13.99680,13.99680,12.94906,12.70080,12.70080,12.70080,13.94102,13.84953,12.70080,12.13582,11.40480,11.29083,10.10880,10.10880
2015,Adamstown 132_11kV,09MAY2014,MW,10.10880,10.10880,10.09309,10.36800,10.36800,9.30408,9.07200,9.07200,8.83320,7.77600,7.77600,7.77600,7.73131,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,7.02259,7.77600,8.49192,9.07200,10.35214,10.36800,10.36800,11.13648,11.66400,11.66400,11.66400,11.66400,10.41486,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,11.58257,11.66400,12.66164,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.10191,11.66400,11.66400,11.66400,14.01413,13.03152,12.13895,11.66400,11.66400,10.71182,10.36800,10.36800
2015,Adamstown 132_11kV,10MAY2014,MW,10.36800,10.36800,10.28917,10.36800,10.36800,9.41792,9.07200,7.97990,7.77600,7.77600,7.77600,7.77600,7.77600,7.09608,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,7.77188,7.77600,8.54058,9.07200,9.07200,9.98338,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,9.69442,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.52913,10.36800,10.36800,10.76633,11.66400,11.66400,12.68808,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.96000,12.01298,11.66400,11.66400,11.66400,11.65700,10.36800,13.11387,12.09369,11.68404,10.62720,10.62720,10.62720,10.62720,10.06162,9.33120,9.33120
