year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Adamstown 132_11kV,01MAY2017,MW,8.01034,8.01034,8.01034,8.01034,8.01034,8.01034,8.01034,8.01034,8.01034,8.01034,6.87480,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,7.29190,8.01034,8.03967,9.44076,9.44076,9.44076,10.44674,10.87118,10.87118,10.87118,10.87118,10.87118,10.11349,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,8.58849,8.01034,8.01034,8.08772,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.56286,10.87118,10.87118,10.94440,12.30159,12.30159,12.30159,12.30159,12.30159,12.30159,12.30159,12.30159,12.30159,12.30159,12.30159,11.72067,10.87118,10.87118,10.87118,10.87118,10.87118,10.56739,12.19567,11.88929,10.87118,10.02935,9.44076,9.44076,9.44076,9.44076
2018,Adamstown 132_11kV,02MAY2017,MW,9.44076,9.44076,9.36131,9.15467,9.15467,9.15467,8.44265,7.72426,7.72426,7.72426,7.72426,7.63930,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,7.51094,7.72426,8.35550,9.15467,9.15467,9.15467,9.15467,9.15467,10.10077,10.58509,10.58509,10.58509,10.58509,9.93162,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.65995,10.58509,10.58509,11.54160,12.01551,12.01551,12.93694,13.44593,13.44593,13.44593,13.44593,13.44593,12.17601,12.01551,12.01551,12.01551,11.24846,10.58509,10.58509,10.58509,10.58509,10.58509,11.95694,11.77296,10.58509,9.77499,9.15467,9.15467,9.15467,9.15467
2018,Adamstown 132_11kV,03MAY2017,MW,9.15467,9.15467,9.15979,9.44076,9.44076,9.20033,8.01034,8.01034,8.01034,8.01034,6.77109,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.98003,8.01034,8.01034,8.19946,9.44076,9.44076,9.44076,10.06810,10.87118,10.87118,10.87118,10.87118,10.57145,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,10.54818,10.87118,10.87118,11.78567,12.30159,13.67428,13.73201,13.73201,13.73201,13.73201,13.73201,13.73201,13.73201,13.73201,13.60292,12.30159,12.30159,12.30159,12.30159,10.98152,10.87118,10.87118,10.87118,12.24896,12.30159,11.34330,10.87118,10.83855,9.44076,9.44076,9.44076
2018,Adamstown 132_11kV,04MAY2017,MW,9.44076,9.44076,9.43037,9.72684,9.72684,8.73496,8.29642,8.29642,8.29642,8.29642,7.16247,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,8.13159,8.29642,9.69909,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,10.19727,11.15726,11.45940,12.58768,12.58768,12.58768,12.58768,12.58768,12.58768,12.58768,12.58768,12.58768,12.58768,12.58768,12.42627,11.15726,11.15726,11.15726,11.03012,9.72684,9.72684,12.48083,12.50679,11.15726,11.15726,11.15726,9.76585,9.72684,9.72684
2018,Adamstown 132_11kV,05MAY2017,MW,9.72684,9.72684,9.05049,9.72684,9.72684,9.29029,8.29642,8.29642,8.29642,8.29642,7.01265,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,7.00340,8.29642,8.29642,9.69345,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,8.90802,8.29642,8.29642,8.29642,8.29642,8.29642,8.29642,8.29642,8.29642,8.29642,8.29642,8.29642,8.29642,8.29642,8.29642,8.29642,8.29642,8.29642,8.92595,9.72684,9.72684,9.72684,10.19754,11.15726,11.61896,12.58768,12.58768,12.58768,12.58768,12.58768,12.58768,12.58768,12.58768,12.58768,11.68193,11.15726,11.15726,11.15726,11.15726,10.94175,9.72684,9.72684,11.66009,11.72943,11.18312,10.29901,10.29901,10.29901,10.29901,10.29901
2018,Adamstown 132_11kV,06MAY2017,MW,10.29901,10.08673,8.86859,8.86859,8.86859,8.86859,8.86859,7.77699,7.43817,7.43817,7.43817,7.43817,7.43817,7.43817,7.43817,7.43817,7.43817,7.10424,6.00776,6.00776,6.00776,6.00776,6.00776,6.00776,6.00776,6.07771,7.43817,7.43817,7.43817,8.52565,8.86859,8.86859,8.86859,8.86859,10.19365,10.29901,10.29901,10.29901,10.29901,10.29901,10.29901,10.29901,10.29901,10.29901,9.54194,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,8.86859,9.59514,10.29901,10.29901,10.46252,11.72943,11.72943,11.72943,11.72943,11.72943,11.72943,11.72943,11.72943,11.72943,11.72943,11.72943,10.55729,10.29901,10.29901,10.29901,10.29901,11.95241,10.94964,10.58509,10.32862,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467
2018,Adamstown 132_11kV,07MAY2017,MW,9.15467,8.62421,7.92154,9.15467,8.50330,7.72426,7.72426,7.72426,6.35017,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.29384,6.99496,7.72426,7.72426,7.72426,7.72426,8.24738,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.15467,9.06938,7.72426,7.72426,7.72426,7.72426,7.72426,7.72426,8.03953,9.15467,9.15467,9.15467,9.15467,10.12101,10.58509,10.63577,12.01551,12.01551,12.01551,12.01551,12.01551,12.01551,12.01551,12.01551,12.01551,12.01551,12.01551,12.01551,11.67254,10.58509,10.58509,10.58509,10.58509,12.23170,11.24431,10.87118,9.72799,9.44076,9.44076,9.44076,9.44076,8.40463,8.01034
2018,Adamstown 132_11kV,08MAY2017,MW,8.01034,8.01034,8.01034,8.01034,8.01034,8.01034,6.95595,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,6.57992,7.07417,8.01034,8.42316,9.44076,9.44076,10.22999,10.87118,10.87118,10.87118,10.87118,10.87118,10.87118,10.87118,10.22458,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.44076,9.67698,10.87118,11.05511,12.31989,13.73201,13.73201,13.73201,13.73201,13.73201,13.73201,13.73201,13.73201,13.73201,13.73201,12.35222,12.30159,12.30159,12.30159,11.74051,10.87118,10.87118,10.87118,12.52296,12.40138,11.15726,10.97272,9.72684,9.72684,9.72684,9.72684
2018,Adamstown 132_11kV,09MAY2017,MW,9.72684,9.72684,9.58355,9.72684,9.72684,9.37922,8.29642,8.29642,8.29642,8.29642,7.47622,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,6.86601,7.13408,8.29642,8.89012,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,9.72684,11.10737,11.15726,12.40826,13.46855,14.01810,14.01810,14.01810,14.01810,14.01810,14.01810,14.01810,14.01810,14.01810,12.64799,12.58768,12.58768,12.58768,11.84913,11.15726,11.15726,11.15726,12.53462,12.58768,11.45793,11.15726,11.15726,9.93228,9.72684,9.72684
2018,Adamstown 132_11kV,10MAY2017,MW,9.72684,9.72684,9.72650,10.01293,10.01293,9.12313,8.58251,8.58251,8.58251,8.23016,7.15209,7.15209,7.15209,7.15209,7.15209,7.15209,7.15209,7.15209,7.15209,7.15209,7.15209,7.15209,7.15209,7.15209,7.58348,8.58251,8.58251,9.97582,10.01293,10.01293,10.01293,10.01293,10.01293,10.01293,10.01293,10.01293,10.01293,10.01293,10.01293,10.01293,10.01293,8.58336,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,8.58251,9.24325,10.01293,10.01293,10.03090,11.44334,11.66209,12.87376,12.87376,12.87376,12.87376,12.87376,12.87376,12.87376,12.87376,12.87376,12.87376,12.87376,12.87376,11.46243,11.44334,11.44334,11.44334,11.44334,10.73826,12.48209,12.58768,11.50282,11.15726,11.15726,9.91443,9.72684,9.72684
